year,id,pap_majortopic,pap_subtopic,majortopic,subtopic,description,filter_democrat,words
1984,8493,13,503,13,503,We therefore oppose laws requiring an unemployed parent to leave the family or drop out of the work force in order to quality for assistance and health care.,1,28
1968,3141,17,1707,17,1707,America has the most efficient and comprehensive communications system in the world.,1,12
1984,8008,17,1707,17,1707,Nationwide access to those networks is becoming crucial to full participation in a society and economy that are increasingly dependent upon the rapid exchange of information.,1,26
1984,8009,17,1707,17,1707,"Electronically-delivered messages, and not the written word, are becoming the dominant form of communication.",1,14
1984,8014,17,1707,17,1707,"This electronic marketplace is so fundamental to our future as a democracy (as well as to our economy) that social and cultural principles must be as much a part of communications policy as a commitment to efficiency, innovation, and competition.",1,40
1984,8015,17,1707,17,1707,"Those principles are diversity, the availability of a wide choice of information services and sources;",1,15
1984,8016,17,1707,17,1707,"access, the ability of all Americans, not just a privileged few, to take advantage of this growing array of information services and sources;",1,23
1984,8198,17,1707,17,1707,"We support efforts by management and labor to improve auto quality and productivity, and to restrain prices.",1,17
2000,10816,17,1707,17,1707,"While fighting to expand Internet access, he has led the Administration's efforts to give parents, schools, and communities effective tools to protect children from inappropriate content on-line.",1,27
2004,12090,17,1707,17,1707,"We will achieve universal access to broadband services, which could add $500 billion to our economy, generate 1.2 million jobs, and transform the way we learn and work.",1,28
2004,12181,17,1707,17,1707,"And we will redouble our nation's commitment to closing the ""digital divide.íñ",1,12
1960,1712,20,2010,20,2010,The conflict-of-interest statutes should be revised and strengthened to assure the Federal service of maximum security against unethical practices on the part of public officials.,1,25
1960,1713,20,2010,20,2010,The Democratic Administration will establish and enforce a Code of Ethics to maintain the full dignity and integrity of the Federal service and to make it more attractive to the ablest men and women.,1,34
1964,2025,20,2010,20,2010,Every person who participates in the government must be held to a standard of ethics which permits no compromise with the principles of absolute honesty and the maintenance of undivided loyalty to the public interest.,1,35
1964,2587,20,2010,20,2010,"This Administration has brought the personnel, morale, ethics, and performance of the Federal service to a point of high excellence.",1,20
1948,1,0,-555,0,-555,The Democratic Party adopts this platform in the conviction that the destiny of the United States is to provide leadership in the world toward a realization of the Four Freedoms.,1,30
1948,2,0,-555,0,-555,We chart our future course as we charted our course under the leadership of Franklin D. Roosevelt and Harry S. Truman in the abiding belief that democracyíïwhen dedicated to the service of all and not to a privileged fewíïproves its superiority over all other forms of government.,1,47
1948,3,0,-555,0,-555,Our party record of the past is assurance of its policies and performance in the future.,1,16
1948,4,0,-555,0,-555,"Ours is the party which was entrusted with responsibility when twelve years of Republican neglect had blighted the hopes of mankind, had squandered the fruits of prosperity and had plunged us into the depths of depression and despair.",1,38
1948,5,1,100,1,100,"Ours is the party which rebuilt a shattered economy, rescued our banking system, revived our agriculture, reinvigorated our industry, gave labor strength and security, and led the American people to the broadest prosperity in our history.",1,36
1948,6,5,501,5,501,"Ours is the party which introduced the spirit of humanity into our law, as we outlawed child labor and the sweatshop, insured bank deposits, protected millions of home-owners and farmers from foreclosure, and established national social security.",1,37
1948,7,19,1901,19,1901,Ours is the party under which this nation before Pearl Harbor gave aid and strength to those countries which were holding back the Nazi and Fascist tide.,1,27
1948,8,16,1619,16,1619,Ours is the party which stood at the helm and led the nation to victory in the war.,1,18
1948,9,1,100,1,100,"Ours is the party which, during the war, prepared for peace so well that when peace came reconversion promptly led to the greatest production and employment in this nation's life.",1,30
1948,10,4,400,4,400,Ours is the party under whose leadership farm owners' income in this nation increased from less than $2.5 billions in 1933 to more than $18 billions in 1947;,1,28
1948,11,1,100,1,100,independent business and professional income increased from less than $3 billions in 1933 to more than $22 billions in 1947;,1,20
1948,12,1,100,1,100,employees' earnings increased from $29 billions in 1933 to more than 128 billions in 1947;,1,15
1948,13,1,103,1,103,and employment grew from 39 million jobs in 1933 to a record of 60 million jobs in 1947.,1,18
1948,14,19,1926,19,1926,Ours is the party under which the framework of the world organization for peace and justice was formulated and created.,1,20
1948,15,19,1906,19,1906,Ours is the party under which were conceived the instruments for resisting Communist aggression and for rebuilding the economic strength of the democratic countries of Europe and Asiaíïthe Truman Doctrine and the Marshall Plan.,1,34
1948,16,19,1906,19,1906,They are the materials with which we must build the peace.,1,11
1948,17,19,1900,19,1900,Ours is the party which first proclaimed that the actions and policies of this nation in the foreign field are matters of national and not just party concern.,1,28
1948,18,19,1900,19,1900,We shall go forward on the course charted by President Roosevelt and President Truman and the other leaders of Democracy.,1,20
1948,19,19,1900,19,1900,"We reject the principleíïwhich we have always rejected, but which the Republican 80th Congress enthusiastically acceptedíïthat government exists for the benefit of the privileged few.",1,25
1948,20,19,1900,19,1900,To serve the interests of all and not the few;,1,10
1948,21,19,1900,19,1900,to assure a world in which peace and justice can prevail;,1,11
1948,22,19,1900,19,1900,"to achieve security, full production, and full employmentíïthis is our platform.",1,11
1948,23,19,1926,19,1926,We declared in 1944 that the imperative duty of the United States was to wage the war to final triumph and to join with the other United Nations in the establishment of an international organization for the prevention of aggression and the maintenance of international peace and security.,1,48
1948,24,19,1926,19,1926,"Under Democratic leadership, those pledges were gloriously redeemed.",1,8
1948,25,16,1619,16,1619,"When the United States was treacherously and savagely attacked, our great Democratic President, Franklin D. Roosevelt, and a Democratic Congress preserved the nation's honor, and with high courage and with the invincible might of the American people, the challenge was accepted.",1,41
1948,26,16,1608,16,1608,"Under his inspiring leadership, the nation created the greatest army that ever assembled under the flag, the mightiest air force, the most powerful navy on the globe, and the largest merchant marine in the world.",1,35
1948,27,16,1619,16,1619,"The nation's gallant sons on land, on sea, and in the air, ended the war in complete and overwhelming triumph.",1,20
1948,28,16,1619,16,1619,Armed aggression against peaceful peoples was resisted and crushed.,1,9
1948,29,16,1619,16,1619,Arrogant and powerful war lords were vanquished and forced to unconditional surrender.,1,12
1948,30,19,1900,19,1900,Before the end of the war the Democratic administration turned to the task of establishing measures for peace and the prevention of aggression and the threat of another war.,1,29
1948,31,19,1926,19,1926,"Under the leadership of a Democratic President and his Secretary of State, the United Nations was organized at San Francisco.",1,20
1948,32,19,1926,19,1926,The charter was ratified by an overwhelming vote of the Senate.,1,11
1948,33,19,1926,19,1926,We support the United Nations fully and we pledge our whole-hearted aid toward its growth and development.,1,17
1948,34,19,1926,19,1926,We will constitute to lead the way toward curtailment of the use of the veto.,1,15
1948,35,19,1926,19,1926,We shall favor such amendments and modifications of the charter as experience may justify.,1,14
1948,36,19,1926,19,1926,We will continue our efforts toward the establishment of an international armed force to aid its authority.,1,17
1948,37,19,1926,19,1926,"We advocate the grant of a loan to the United Nations recommended by the President, but denied by the Republican Congress, for the construction of the United Nations headquarters in this country.",1,32
1948,38,19,1900,19,1900,We pledge our best endeavors to conclude treaties of peace with our former enemies.,1,14
1948,39,19,1910,19,1910,"Already treaties have been made with Italy, Hungary, Bulgaria and Rumania.",1,11
1948,40,19,1900,19,1900,"We shall strive to conclude treaties with the remaining enemy states, based on justice and with guarantees against the revival of aggression, and for the preservation of peace.",1,28
1948,41,16,1604,16,1604,"We advocate the maintenance of an adequate Army, Navy and Air Force to protect the nation's vital interests and to assure our security against aggression.",1,25
1948,42,16,1605,16,1605,"We advocate the effective international control of weapons of mass destruction, including the atomic bomb, and we approve continued and vigorous efforts within the United Nations to bring about the successful consummation of the proposals which our Government has advanced.",1,40
1948,43,16,1605,16,1605,The adoption of these proposals would be a vital and most important step toward safe and effective world disarmament and world peace under a strengthened United Nations which would then truly constitute a more effective parliament of the world's peoples.,1,40
1948,44,19,1901,19,1901,"Under the leadership of a Democratic President, the United States has demonstrated its friendship for other peace-loving nations and its support of their freedom and independence.",1,26
1948,45,19,1901,19,1901,"Under the Truman doctrine vital aid has been extended to China, to Greece, and to Turkey.",1,16
1948,46,19,1901,19,1901,Under the Marshall Plan generous sums have been provided for the relief and rehabilitation of European nations striving to rebuild their economy and to secure and strengthen their safety and freedom.,1,31
1948,47,19,1901,19,1901,"The Republican leadership in the House of Representatives, by its votes in the 80th Congress, has shown its reluctance to provide funds to support this program, the greatest move for peace and recovery made since the end of World War II.",1,41
1948,48,19,1901,19,1901,"We pledge a sound, humanitarian administration of the Marshall Plan.",1,10
1948,49,19,1901,19,1901,We pledge support not only for these principlesíïwe pledge further that we will not withhold necessary funds by which these principles can be achieved.,1,24
1948,50,19,1901,19,1901,"Therefore, we pledge that we will implement with appropriations the commitments which are made in this nation's foreign program.",1,19
1948,51,18,1802,18,1802,We pledge ourselves to restore the Reciprocal Trade Agreements program formulated in 1934 by Secretary of State Cordell Hull and operated successfully for 14 yearsíïuntil crippled by the Republican 80th Congress.,1,31
1948,52,18,1802,18,1802,"Further, we strongly endorse our country's adherence to the International Trade Organization.",1,12
1948,53,19,1921,19,1921,A great Democratic President established the Good Neighbor Policy toward the nations of the Western Hemisphere.,1,16
1948,54,19,1921,19,1921,The Act of Chapultepec was negotiated at Mexico City under Democratic leadership.,1,12
1948,55,19,1921,19,1921,"It was carried forward in the Western Hemisphere defense pact concluded at Rio de Janeiro, which implemented the Monroe Doctrine and united the Western Hemisphere in behalf of peace.",1,29
1948,56,19,1921,19,1921,We pledge continued economic cooperation with the countries of the Western Hemisphere.,1,12
1948,57,19,1926,19,1926,"We pledge continued support of regional arrangements within the United Nations Charter, such as the Inter-American Regional Pact and the developing Western European Union.",1,24
1948,58,19,1921,19,1921,"President Truman, by granting immediate recognition to Israel, led the world in extending friendship and welcome to a people who have long sought and justly deserve freedom and independence.",1,29
1948,59,19,1921,19,1921,We pledge full recognition to the State of Israel.,1,9
1948,60,19,1921,19,1921,"We affirm our pride that the United States under the leadership of President Truman played a leading role in the adoption of the resolution of November 29, 1947, by the United Nations General Assembly for the creation of a Jewish State.",1,41
1948,61,19,1921,19,1921,We approve the claims of the State of Israel to the boundaries set forth in the United Nations resolution of November 29th and consider that modifications thereof should be made only if fully acceptable to the State of Israel.,1,39
1948,62,19,1921,19,1921,We look forward to the admission of the State of Israel to the United Nations and its full participation in the international community of nations.,1,25
1948,63,19,1921,19,1921,We pledge appropriate aid to the State of Israel in developing its economy and resources.,1,15
1948,64,19,1921,19,1921,We favor the revision of the arms embargo to accord to the State of Israel the right of self-defense.,1,19
1948,65,19,1921,19,1921,We pledge ourselves to work for the modification of any resolution of the United Nations to the extent that it may prevent any such revision.,1,25
1948,66,19,1921,19,1921,"We continue to support, within the framework of the United Nations, the internationalization of Jerusalem and the protection of the Holy Places in Palestine.",1,24
1948,67,19,1900,19,1900,"The United States has traditionally been in sympathy with the efforts of subjugated countries to attain their independence, and to establish a democratic form of government.",1,26
1948,68,19,1921,19,1921,Poland is an outstanding example.,1,5
1948,69,19,1921,19,1921,"After a century and a half of subjugation, it was resurrected after the first World War by our great Democratic President, Woodrow Wilson.",1,23
1948,70,19,1921,19,1921,"We look forward to development of these countries as prosperous, free, and democratic fellow members of the United Nations.",1,19
1948,71,1,101,1,101,The Republican 80th Congress is directly responsible for the existing and ever increasing high cost of living.,1,17
1948,72,1,101,1,101,It cannot dodge that responsibility.,1,5
1948,73,0,-555,0,-555,"Unless the Republican candidates are defeated in the approaching elections, their mistaken policies will impose greater hardships and suffering on large numbers of the American people.",1,26
1948,74,1,101,1,101,"Adequate food, clothing and shelteríïthe bare necessities of lifeíïare becoming too expensive for the average wage earner and the prospects are more frightening each day.",1,25
1948,75,1,101,1,101,The Republican 80th Congress has lacked the courage to face this vital problem.,1,13
1948,76,1,101,1,101,We shall curb the Republican inflation.,1,6
1948,77,1,101,1,101,"We shall put a halt to the disastrous price rises which have come as a result of the failure of the Republican 80th Congress to take effective action on President Truman's recommendations, setting forth a comprehensive program to control the high cost of living.",1,44
1948,78,14,1401,14,1401,"We shall enact comprehensive housing legislation, including provisions for slum clearance and low-rent housing projects initiated by local agencies.",1,19
1948,79,14,1400,14,1400,This nation is shamed by the failure of the Republican 80th Congress to pass the vitally needed general housing legislation as recommended by the President.,1,25
1948,80,14,1401,14,1401,Adequate housing will end the need for rent control.,1,9
1948,81,14,1401,14,1401,"Until then, it must be continued.",1,6
1948,82,1,105,1,105,We pledge the continued maintenance of those sound fiscal policies which under Democratic leadership have brought about a balanced budget and reduction of the public debt by $28 billion since the close of the war.,1,35
1948,83,1,107,1,107,"We favor the reduction of taxes, whenever it is possible to do so without unbalancing the nation's economy, by giving a full measure of relief to those millions of low-income families on whom the wartime burden of taxation fell most heavily.",1,41
1948,84,1,107,1,107,The form of tax reduction adopted by the Republican 80th Congress gave relief to those who need it least and ignored those who need it most.,1,26
1948,85,1,107,1,107,We shall endeavor to remove tax inequities and to continue to reduce the public debt.,1,15
1948,86,1,107,1,107,We are opposed to the imposition of a general federal sales tax.,1,12
1948,87,5,504,5,504,We advocate the repeal of the Taft-Hartley Act.,1,8
1948,88,5,504,5,504,It was enacted by the Republican 80th Congress over the President's veto.,1,12
1948,89,5,504,5,504,"That act was proposed with the promise that it would secure ""the legitimate rights of both employees and employers in their relations affecting commerce.""",1,24
1948,90,5,504,5,504,It has failed.,1,3
1948,91,5,504,5,504,The number of labor-management disputes has increased.,1,7
1948,92,5,504,5,504,"The number of cases before the National Labor Relations Board has more than doubled since the Act was passed, and efficient and prompt administration is becoming more and more difficult.",1,30
1948,93,5,504,5,504,It has encouraged litigation in labor disputes and undermined the established American policy of collective bargaining.,1,16
1948,94,5,504,5,504,"Recent decisions by the courts prove that the Act was so poorly drawn that its application is uncertain, and that it is probably, in some provisions, unconstitutional.",1,27
1948,95,5,504,5,504,"We advocate such legislation as is desirable to establish a just body of rules to assure free and effective collective bargaining, to determine, in the public interest, the rights of employees and employers, to reduce to a minimum their conflict of interests, and to enable unions to keep their membership free from communistic influences.",1,54
1948,96,5,504,5,504,"We urge that the Department of Labor be rebuilt and strengthened, restoring to it the units, including the Federal Mediation and Conciliation Service and the United States Employment Service, which properly belong to it, and which the Republican 80th Congress stripped from it over the veto of President Truman.",1,49
1948,97,5,500,5,500,"We urge that the Department's facilities for collecting and disseminating economic information be expanded, and that a Labor Education Extension Service be established in the Department of Labor.",1,28
1948,98,5,505,5,505,"We favor the extension of the coverage of the Fair Labor Standards Act as recommended by President Truman, and the adoption of a minimum wage of at least 75 cents an hour in place of the present obsolete and inadequate minimum of 40 cents an hour.",1,46
1948,99,2,202,2,202,"We favor legislation assuring that the workers of our nation receive equal pay for equal work, regardless of sex.",1,19
1948,100,13,1303,13,1303,"We favor the extension of the Social Security program established under Democratic leadership, to provide additional protection against the hazards of old age, disability, disease or death.",1,27
1948,101,13,1303,13,1303,"We believe that this program should include:Increases in old-age and survivors' insurance benefits by at least 50 percent, and reduction of the eligibility age for women from 65 to 60 years;",1,31
1948,102,13,1303,13,1303,extension of old-age and survivors' and unemployment insurance to all workers not now covered;,1,14
1948,103,13,1304,13,1304,insurance against loss of earnings on account of illness or disability;,1,11
1948,104,13,1302,13,1302,improved public assistance for the needy.,1,6
1948,105,3,301,3,301,"We favor the enactment of a national health program far expanded medical research, medical education, and hospitals and clinics.",1,19
1948,106,13,1304,13,1304,We will continue our efforts to aid the blind and other handicapped persons to become self-supporting.,1,16
1948,107,3,332,3,332,"We will continue our efforts to expand maternal care, improve the health of the nation's children, and reduce juvenile delinquency.",1,20
1948,108,3,333,3,333,We approve the purposes of the Mental Health Act and we favor such appropriations as may be necessary to make it effective.,1,22
1948,109,6,600,6,600,We advocate federal aid for education administered by and under the control of the states.,1,15
1948,110,6,600,6,600,"We vigorously support the authorization, which was so shockingly ignored by the Republican 80th Congress, for the appropriation of $300 million as a beginning of Federal aid to the states to assist them in meeting the present educational needs.",1,39
1948,111,6,602,6,602,We insist upon the right of every American child to obtain a good education.,1,14
1948,112,16,1609,16,1608,The nation can never discharge its debt to its millions of war veterans.,1,13
1948,113,16,1609,16,1608,We pledge ourselves to the continuance and improvement of our national program of benefits for veterans and their families.,1,19
1948,114,6,601,6,601,"We are proud of the sound and comprehensive program conceived, developed and administered under Democratic leadership, including the GI Bill of Rights, which has proved beneficial to many millions.",1,29
1948,115,16,1609,16,1608,The level of veterans' benefits must be constantly re-examined in the light of the decline in the purchasing power of the dollar brought about by inflation.,1,26
1948,116,16,1609,16,1608,Employment and economic security must be afforded all veterans.,1,9
1948,117,14,1407,14,1407,We pledge a program of housing for veterans at prices they can afford to pay.,1,15
1948,118,3,300,3,300,The disabled veteran must be provided with medical care and hospitalization of the highest possible standard.,1,16
1948,119,4,400,4,400,"We pledge our efforts to maintain continued farm prosperity, improvement of the standard of living and the working conditions of the farmer, and to preserve the family-size farm.",1,28
1948,120,4,402,4,402,"Specifically, we favor a permanent system of flexible price supports for agricultural products, to maintain farm income on a parity with farm operating costs;",1,24
1948,121,7,711,7,711,an intensified soil conservation program;,1,5
1948,122,4,402,4,402,an extended crop insurance program;,1,5
1948,123,4,401,4,401,improvement of methods of distributing agricultural products;,1,7
1948,124,4,401,4,401,development and maintenance of stable export markets;,1,7
1948,125,13,1301,13,1302,adequate financing for the school lunch program;,1,7
1948,126,13,1301,13,1302,the use of agricultural surpluses to improve the diet of low-income families in case of need;,1,16
1948,127,14,1405,14,1405,continued expansion of the rural electrification program;,1,7
1948,128,4,402,4,402,strengthening of all agricultural credit programs;,1,6
1948,129,4,498,4,498,"intensified research to improve agricultural practices, and to find new uses for farm products.",1,14
1948,130,4,400,4,400,We strongly urge the continuance of maximum farmer participation in all these programs.,1,13
1948,131,4,499,4,499,We favor the repeal of the discriminatory taxes on the manufacture and sale of oleomargarine.,1,15
1948,132,4,400,4,400,"We will encourage farm co-operatives and oppose any revision of federal law designed to curtail their most effective functioning as a means of achieving economy, stability and security for American agriculture.",1,31
1948,133,4,498,4,498,We favor provisions under which our fishery resources and industry will be afforded the benefits that will result from more scientific research and exploration.,1,24
1948,134,15,1521,15,1521,We recognize the importance of small business in a sound American economy.,1,12
1948,135,15,1521,15,1521,"It must be protected against unfair discrimination and monopoly, and be given equal opportunities with competing enterprises to expand its capital structure.",1,22
1948,136,15,1521,15,1521,We favor non-discriminatory transportation charges and declare for the early correction of inequalities in such charges.,1,16
1948,137,21,2103,21,2103,"We pledge the continued full and unified regional development of the water, mineral, and other natural resources of the nation, recognizing that the progress already achieved under the initiative of the Democratic Party in the arid and semi-arid states of the West, as well as in the Tennessee Valley, is only an indication of still greater results which can be accomplished.",1,61
1948,138,21,2103,21,2103,Our natural resources are the heritage of all our people and must not be permitted to become the private preserves of monopoly.,1,22
1948,139,8,802,8,802,"The irrigation of arid land, the establishment of new, independent, competitive business and the stimulation of new industrial opportunities for all of our people depends upon the development and transmission of electric energy in accordance with the program and the projects so successfully launched under Democratic auspices during the past sixteen years.",1,52
1948,140,21,2104,21,2104,"We favor acceleration of the Federal Reclamation Program, the maximum beneficial use of water in the several states for irrigation and domestic supply.",1,23
1948,141,4,400,4,400,"In this connection, we propose the establishment and maintenance of new family-size farms for veterans and others seeking settlement opportunities, the development of hydroelectric power and its widespread distribution over publicly owned transmission lines to assure benefits to the water users in financing irrigation projects, and to the power users for domestic and industrial purposes, with preference to public agencies and R.E.A. co-operatives.",1,63
1948,142,0,-555,0,-555,"These are the aims of the Democratic Party which in the future, as in the past, will place the interest of the people as individual citizens first.",1,27
1948,143,10,1007,10,1007,We will continue to improve the navigable waterways and harbors of the nation.,1,13
1948,144,21,2104,21,2104,We pledge to continue the policy initiated by the Democratic Party of adequate appropriations for flood control for the protection of life and property.,1,24
1948,145,15,1523,15,1523,"In addition to practicing false economy on flood control, the Republican-controlled 80th Congress was so cruel as even to deny emergency federal funds for the relief of individuals and municipalities victimized by recent great floods, tornadoes and other disasters.",1,39
1948,146,21,2103,21,2103,"We shall expand our programs for forestation, for the improvement of grazing lands, public and private, for the stockpiling of strategic minerals and the encouragement of a sound domestic mining industry.",1,31
1948,147,21,2103,21,2103,We shall carry forward experiments for the broader utilization of mineral resources in the highly beneficial manner already demonstrated in the program for the manufacture of synthetic liquid fuel from our vast deposits of coal and oil shale and from our agricultural resources.,1,43
1948,148,15,1520,15,1520,"We pledge an intensive enforcement of the antitrust laws, with adequate appropriations.",1,12
1948,149,15,1520,15,1520,We advocate the strengthening of existing antitrust laws by closing the gaps which experience has shown have been used to promote concentration of economic power.,1,25
1948,150,15,1520,15,1520,We pledge a positive program to promote competitive business and to foster the development of independent trade and commerce.,1,19
1948,151,15,1500,15,1500,We support the right of free enterprise and the right of all persons to work together in co-operatives and other democratic associations for the purpose of carrying out any proper business operations free from any arbitrary and discriminatory restrictions.,1,39
1948,152,2,200,2,200,"The Democratic Party is responsible for the great civil rights gains made in recent years in eliminating unfair and illegal discrimination based on race, creed or color,",1,27
1948,153,2,200,2,200,"The Democratic Party commits itself to continuing its efforts to eradicate all racial, religious and economic discrimination.",1,17
1948,154,2,200,2,200,"We again state our belief that racial and religious minorities must have the right to live, the right to work, the right to vote, the full and equal protection of the laws, on a basis of equality with all citizens as guaranteed by the Constitution.",1,45
1948,155,2,200,2,200,We highly commend President Harry S. Truman for his courageous stand on the issue of civil rights.,1,17
1948,156,2,206,2,206,We call upon the Congress to support our President in guaranteeing these basic and fundamental American Principles: (1) the right of full and equal political participation;,1,26
1948,157,2,200,2,200,(2) the right to equal opportunity of employment;,1,8
1948,158,2,200,2,200,(3) the right of security of person;,1,7
1948,159,2,201,2,201,(4) and the right of equal treatment in the service and defense of our nation.[1],1,15
1948,160,9,900,9,900,"We pledge ourselves to legislation to admit a minimum of 400,000 displaced persons found eligible for United States citizenship without discrimination as to race or religion.",1,26
1948,161,9,900,9,900,"We condemn the undemocratic action of the Republican 80th Congress in passing an inadequate and bigoted bill for this purpose, which law imposes no-American restrictions based on race and religion upon such admissions.",1,33
1948,162,21,2105,21,2105,We urge immediate statehood for Hawaii and Alaska;,1,8
1948,163,21,2105,21,2105,immediate determination by the people of Puerto Rico as to their form of government and their ultimate status with respect to the United States;,1,24
1948,164,21,2105,21,2105,"and the maximum degree of local self-government for the Virgin Islands, Guam and Samoa.",1,14
1948,165,2,202,2,202,We recommend to Congress the submission of a constitutional amendment on equal rights for women.,1,15
1948,166,2,206,2,206,We favor the extension of the right of suffrage to the people of the District of Columbia.,1,17
1948,167,8,801,8,801,"We pledge adherence to the principle of nonpartisan civilian administration of atomic energy, and the development of atomic energy for peaceful purposes through free scientific inquiry for the benefit of all the people.",1,33
1948,168,19,1925,19,1925,"We urge the vigorous promotion of world-wide freedom in the gathering and dissemination of news by press, radio, motion pictures, newsreels and television, with complete confidence that an informed people will determine wisely the course of domestic and foreign policy.",1,40
1948,169,19,1925,19,1925,We believe the primary step toward the achievement of world-wide freedom is access by all peoples to the facts and the truth.,1,22
1948,170,19,1925,19,1925,"To that end, we will encourage the greatest possible vigor on the part of the United Nations Commission on Human Rights and the United Nations Economic and Social Council to establish the foundations on which freedom can exist in every nation.",1,41
1948,171,2,207,2,207,We deplore the repeated attempts of Republicans in the 80th Congress to impose thought control upon the American people and to encroach on the freedom of speech and press.,1,29
1948,172,17,1798,17,1798,We pledge the early establishment of a national science foundation under principles which will guarantee the most effective utilization of public and private research facilities.,1,25
1948,173,20,2004,20,2004,"We will continue our efforts to improve and strengthen our federal civil service, and provide adequate compensation.",1,17
1948,174,10,1007,10,1007,We will continue to maintain an adequate American merchant marine.,1,10
1948,175,19,1900,19,1900,We condemn Communism and other forms of totalitarianism and their destructive activity overseas and at home.,1,16
1948,176,19,1900,19,1900,We shall continue to build firm defenses against Communism by strengthening the economic and social structure of our own democracy.,1,20
1948,177,2,209,2,209,"We reiterate our pledge to expose and prosecute treasonable activities of anti-democratic and un-American organizations which would sap our strength, paralyze our will to defend ourselves, and destroy our unity, inciting race against race, class against class, and the people against free institutions.",1,43
1948,178,2,209,2,209,"We shall continue vigorously to enforce the laws against subversive activities, observing at all times the constitutional guarantees which protect free speech, the free press and honest political activity.",1,29
1948,179,2,209,2,209,"We shall strengthen our laws against subversion to the full extent necessary, protecting at all times our traditional individual freedoms.",1,20
1948,180,19,1900,19,1900,We recognize that the United States has become the principal protector of the free world.,1,15
1948,181,19,1925,19,1925,The free peoples of the world look to us for support in maintaining their freedoms.,1,15
1948,182,19,1900,19,1900,"If we falter in our leadership, we may endanger the peace of the worldíïand we shall surely endanger the welfare of our own nation.",1,24
