year,id,pap_majortopic,pap_subtopic,majortopic,subtopic,description,words
2000,12739,2,202,2,202,"We salute those who provide alternatives to abortion and offer adoption services, and we commend congressional Republicans for expanding assistance to adopting families and for removing racial barriers to adoption.",30
2000,13848,2,202,2,202,"For that reason, we will protect the rights of families in international programs and will not fund organizations involved in abortion.",21
2004,14425,2,202,2,202,"For that reason, we support protecting the rights of families in international programs and oppose funding organizations involved in abortion.",20
2004,15688,2,202,2,202,Our purpose is to have legislative and judicial protection of that right against those who perform abortions.,17
2004,15689,2,202,2,202,We oppose using public revenues for abortion and will not fund organizations which advocate it.,15
2004,15692,2,202,2,202,"We oppose abortion, but our pro-life agenda does not include punitive action against women who have an abortion.",18
2004,15693,2,202,2,202,"We salute those who provide alternatives to abortion and offer adoption services, and we commend Congressional Republicans for expanding assistance to adopting families and for removing racial barriers to adoption.",30
2004,15699,2,202,2,202,"We praise Republicans in Congress for passing, with strong bipartisan support, a ban on the inhumane procedure known as partial birth abortion.",22
2004,15700,2,202,2,202,And we applaud President Bush for signing legislation outlawing partial birth abortion and for vigorously defending it in the courts.,20
2004,15701,2,202,2,202,"In signing the partial birth abortion ban, President Bush reminded us that íÍthe most basic duty of government is to defend the life of the innocent.",26
2008,15912,2,202,2,202,We assert the rights of families in all international programs and will not fund organizations involved in abortion.,18
2008,15913,2,202,2,202,"We strongly support the long-held policy of the Republican Party known as the ""Mexico City policy,"" which prohibits federal monies from being given to non-governmental organizations that provide abortions or actively promote abortion as a method of family planning in other countries.",42
2008,16732,2,202,2,202,We oppose using public revenues to promote or perform abortion and will not fund organizations which advocate it.,18
2008,16735,2,202,2,202,The Supreme Court has upheld prohibitions against the barbaric practice of partial-birth abortion.,13
2008,16738,2,202,2,202,this law ensures that infants who are born alive during an abortion receive all treatment and care that is provided to all newborn infants and are not neglected and left to die.,32
2008,16741,2,202,2,202,"At its core, abortion is a fundamental assault on the sanctity of innocent human life.",15
2008,16742,2,202,2,202,Women deserve better than abortion.,5
2008,16743,2,202,2,202,Every effort should be made to work with women considering abortion to enable and empower them to choose life.,19
2012,17212,2,202,2,202,We oppose using public revenues to promote or perform abortion or fund organizations which perform or advocate it and will not fund or subsidize health care which includes abortion coverage.,30
2012,17215,2,202,2,202,Republican leadership has led the effort to prohibit the barbaric practice of partial-birth abortion and permitted States to extend health care coverage to children before birth.,26
2012,17216,2,202,2,202,"We urge Congress to strengthen the Born Alive Infant Protection Act by enacting appropriate civil and criminal penalties on healthcare providers who fail to provide treatment and care to an infant who survives an abortion, including early induction delivery where the death of the infant is intended.",47
2012,17217,2,202,2,202,We call for legislation to ban sex-selective abortionsgender discrimination in its most lethal formand to protect from abortion unborn children who are capable of feeling pain;,26
2012,17222,2,202,2,202,"We also salute the many States that have passed laws for informed consent, mandatory waiting periods prior to an abortion, and health-protective clinic regulation.",24
2012,17670,2,202,2,202,"Through Obamacare, the current Administration has promoted the notion of abortion as healthcare. ",13
2012,17672,2,202,2,202,"Numerous studies have shown that abortion endangers the health and wellbeing of women, and we stand firmly against it.",19
2012,17687,2,202,2,202,We call on the government to permanently ban all federal funding and subsidies for abortion and healthcare plans that include abortion coverage.,22
2012,17719,2,202,2,202,We urge enactment of pending legislation that would require parental consent to transport girls across state lines for abortions.,19
2012,17789,2,202,2,202,"We oppose school-based clinics that provide referrals, counseling, and related services for abortion and contraception. ",15
2012,18025,2,202,2,202,"We affirm the Republican Party's long-held position known as the Mexico City Policy, first announced by President Reagan in 1984, which prohibits the granting of federal monies to non-governmental organization that provide or promote abortion. ",35
2016,18579,2,202,2,202,"We oppose the use of public funds to perform or promote abortion or to fund organizations, like Planned Parenthood, so long as they provide or refer for elective abortions or sell fetal body parts rather than provide healthcare.",38
2016,18580,2,202,2,202,"We urge all states and Congress to make it a crime to acquire, transfer, or sell fetal tissues from elective abortions for research, and we call on Congress to enact a ban on any sale of fetal body parts.",39
2016,18582,2,202,2,202,We will not fund or subsidize healthcare that includes abortion coverage.,11
2016,18592,2,202,2,202,We condemn the Supreme Court's activist decision in Whole Woman's Health v.Hellerstedt striking down commonsense Texas laws providing for basic health and safety standards in abortion clinics.	,27
2016,18593,2,202,2,202,"We applaud the U.S. House of Representatives for leading the effort to add enforcement to the Born-Alive Infant Protection Act by passing the Born-Alive Abortion Survivors Protection Act, which imposes appropriate civil and criminal penalties on healthcare providers who fail to provide treatment and care to an infant who survives an abortion, including early induction delivery whether the death of the infant is intended.",64
2016,18595,2,202,2,202,"Over a dozen states have passed Pain-Capable Unborn Child Protection Acts prohibiting abortion after twenty weeks, the point at which current medical research shows that unborn babies can feel excruciating pain during abortions, and we call on Congress to enact the federal version.",43
2016,18597,2,202,2,202,"We support state and federal efforts against the cruelest forms of abortion, especially dismemberment abortion procedures, in which unborn babies are literally torn apart limb from limb.",27
2016,18598,2,202,2,202,We call on Congress to ban sex-selection abortions and abortions based on disabilities - discrimination in its most lethal form.,20
2016,18603,2,202,2,202,The Democratic Party is extreme on abortion.,7
2016,18604,2,202,2,202,"Democrats' almost limitless support for abortion, and their strident opposition to even the most basic restrictions on abortion, put them dramatically out of step with the American people.",28
2016,18605,2,202,2,202,"Because of their opposition to simple abortion clinic safety procedures, support for taxpayer-funded abortion, and rejection of pregnancy resource centers that provide abortion alternatives, the old Clinton mantra of """"safe, legal, and rare"""" has been reduced to just """"legal.",39
2016,19244,2,202,2,202,"We oppose school-based clinics that provide referral or counseling for abortion and contraception and believe that federal funds should not be used in mandatory or universal mental health, psychiatric, or socio-emotional screening programs.",33
2016,19304,2,202,2,202,"Through Obamacare, the current Administration has promoted the notion of abortion as healthcare.",13
2016,19306,2,202,2,202,"Numerous studies have shown that abortion endangers the health and well-being of women, and we stand firmly against it.",19
2016,19324,2,202,2,202,We support the right of parents to consent to medical treatment for their minor children and urge enactment of legislation that would require parental consent for their daughter to be transported across state lines for abortion.,36
2016,19326,2,202,2,202,American taxpayers should not be forced to fund abortion.,9
2016,19328,2,202,2,202,We call for a permanent ban on federal funding and subsidies for abortion and healthcare plans that include abortion coverage.,20
2016,19346,2,202,2,202,We support cutting federal and state funding for entities that endanger women's health by performing abortions in a manner inconsistent with federal or state law.,25
1996,11439,12,1302,12,1302,Bill Clinton vetoed our adoption tax credit the first time around - and opposed our efforts to remove racial barriers to adoption - before joining in this long overdue measure of support for adoptive families.,35
2000,12694,12,1302,12,1302,"For this reason, congressional Republicans made adoption easier and enacted the child tax credit íï and that is why Governor Bush wants to double that credit to $1,000 per child and increase the adoption credit.",35
2000,12742,12,1302,12,1302,"We second Governor Bushí´s call to make permanent the adoption tax credit and expand it to $7,500.",17
1992,10061,17,1707,17,1707,"The most far-reaching transformation of daily life since the harnessing of electricity will mean unprecedented opportunity for rural areas, reduced commuting, health care in the home, and empowerment for the disabled.",31
1992,10064,17,1707,17,1707,"We need to liberate this future-oriented technology and, in turn, empower the American people by giving consumers a truly competitive choice and lower prices.",24
1996,11158,17,1707,17,1707,"In contrast, the Clinton-Gore Administration repeatedly defended big-government regulation.í_",9
1996,11159,17,1707,17,1707,This micromanagement of the Information Age is an impediment to the development of America's information superhighway.í_í_,16
2000,12478,17,1707,17,1707,The Internet Tax Freedom Act put a three-year moratorium on new Internet taxes to ensure that electronic commerce would not be smothered in its infancy.,25
2004,15422,17,1707,17,1707,They also are expanding the availability of the Internet and broadband service to allow people in rural America to access world-class technology.,22
2012,17465,17,1707,17,1707,"An industry that invested $66 billion in 2011 alone needs, and deserves, a more modern relationship with the federal government for the benefit of consumers here and worldwide.",28
2012,17466,17,1707,17,1707,The current Administration has been frozen in the past.,9
2012,17469,17,1707,17,1707,It will leave office with no progress toward the goal of universal coverage  after spending $7.2 billion more.,19
2012,17470,17,1707,17,1707,"That hurts rural America, where farmers, ranchers, and small business manufacturers need connectivity to expand their customer base and operate in real time with the world's producers.",27
2012,17471,17,1707,17,1707,We encourage public-private partnerships to provide predictable support for connecting rural areas so that every American can fully participate in the global economy.,23
2016,18359,17,1707,17,1707,"Together, broadband and good ideas have become the 21st century engines of American ingenuity.",14
1952,405,20,2010,20,2010,"Immorality and unethical behavior have been found to exist among some who were entrusted with high policy-making positions, and there have been disclosures of close alliances between the present Government and underworld characters.",33
1956,439,20,2010,20,2010,We believe that basic to governmental integrity are unimpeachable ethical standards and irreproachable personal conduct by all people in government.,20
1988,8117,20,2010,20,2010,"Even worse, outright offenses against ethical standards and public laws are treated lightly.",13
1948,1,19,1900,19,1900,"To establish and maintain peace, to build a country in which every citizen can earn a good living with the promise of real progress for himself and his family, and to uphold as a beacon light for mankind everywhere, the inspiring American tradition of liberty, opportunity and justice for allíïthat is the Republican platform.",54
1948,2,-555,-555,0,-555,To this end we propose as a guide to definite action the following principles:Maximum voluntary cooperation between citizens and minimum dependence on law;,23
1948,3,-555,-555,0,-555,"never, however, declining courageous recourse to law if necessary.",9
1948,4,1,100,1,100,Our competitive system furnishes vital opportunity for youth and for all enterprising citizens;,13
1948,5,15,1500,15,1500,it makes possible the productive power which is the unique weapon of our national defense;,15
1948,6,1,100,1,100,and is the mainspring of material well-being and political freedom.,10
1948,7,3,300,3,300,"Government, as the servant of such a system, should take all needed steps to strengthen and develop public health, to promote scientific research, to provide security for the aged, and to promote a stable economy so that men and women need not fear the loss of their jobs or the threat of economic hardships through no fault of their own.",60
1948,8,5,504,5,504,The rights and obligations of workers are commensurate with the rights and obligations of employers and they are interdependent;,19
1948,9,5,504,5,504,these rights should be protected against coercion and exploitation from whatever quarter and with due regard for the general welfare of all.,22
1948,10,7,711,7,711,The soil as our basic natural resource must be conserved with increased effectiveness;,13
1948,11,4,402,4,402,and farm prices should be supported on a just basis.,10
1948,12,21,2103,21,2103,Development of the priceless national heritage which is in our West is vital to our nation.,16
1948,13,20,2002,20,2002,Administration of government must be economical and effective.,8
1948,14,1,101,1,101,Faulty governmental policies share an important responsibility for the present cruelly high cost of living.,15
1948,15,1,101,1,101,We pledge prompt action to correct these policies.,8
1948,16,5,505,5,505,There must be decent living at decent wages.,8
1948,17,16,1600,16,1600,Our common defense must be strengthened and unified.,8
1948,18,19,1900,19,1900,Our foreign policy is dedicated to preserving a free America in a free world of free men.,17
1948,19,19,1926,19,1926,This calls for strengthening the United Nations and primary recognition of America's self-interest in the liberty of other peoples.,19
1948,20,19,1900,19,1900,"Prudently conserving our own resources, we shall cooperate on a self-help basis with other peace-loving nations.",16
1948,21,2,200,2,200,"Constant and effective insistence on the personal dignity of the individual, and his right to complete justice without regard to race, creed or color, is a fundamental American principle.",29
1948,22,2,200,2,200,We aim always to unite and to strengthen;,8
1948,23,2,200,2,200,never to weaken or divide.,5
1948,24,2,200,2,200,In such a brotherhood will we Americans get results.,9
1948,25,2,200,2,200,Thus we will overcome all obstacles.,6
1948,26,-555,-555,0,-555,"In the past eighteen months, the Republican Congress, in the face of frequent obstruction from the Executive Branch, made a record of solid achievement.",24
1948,27,20,2011,20,2011,Here are some of the accomplishments of this Republican Congress:The long trend of extravagant and ill-advised Executive action reversed;,19
1948,28,1,105,1,105,the budget balanced;,3
1948,29,1,107,1,107,taxes reduced;,2
1948,30,20,2011,20,2011,limitation of Presidential tenure to two terms passed;,8
1948,31,16,1609,16,1608,"assistance to veterans, their widows and orphans provided;",8
1948,32,4,402,4,402,assistance to agriculture and business enacted;,6
1948,33,2,206,2,206,elimination of the poll tax as a requisite to soldier voting;,11
1948,34,5,500,5,500,"a sensible reform of the labor law, protecting all rights of Labor while safeguarding the entire community against those breakdowns in essential industries which endanger the health and livelihood of all;",31
1948,35,4,400,4,400,a long-range farm program enacted;,5
1948,36,16,1600,16,1600,unification of the armed services launched;,6
1948,37,16,1608,16,1608,a military manpower law enacted;,5
1948,38,19,1926,19,1926,the United Nations fostered;,4
1948,39,9,900,9,900,a haven for displaced persons provided;,6
1948,40,19,1901,19,1901,the most far-reaching measures in history adopted to aid the recovery of the free world on a basis of self-help and with prudent regard for our own resources;,28
1948,41,20,2000,20,2000,"and, finally, the development of intelligent plans and party teamwork for the day when the American people entrust the Executive as well as the Legislative branch of our National Government to the Republican Party.",34
1948,42,20,2002,20,2002,We shall waste few words on the tragic lack of foresight and general inadequacy of those now in charge of the Executive Branch of the National Government;,27
1948,43,20,2002,20,2002,they have lost the confidence of citizens of all parties.,10
1948,44,1,101,1,101,"Present cruelly high prices are due in large part to the fact that the government has not effectively used the powers it possesses to combat inflation, but has deliberately encouraged higher prices.",32
1948,45,1,101,1,101,"We pledge an attack upon the basic causes of inflation, including the following measures:progressive reduction of the cost of government through elimination of waste;",24
1948,46,1,100,1,100,stimulation of production as the surest way to lower prices;,10
1948,47,1,100,1,100,fiscal policies to provide increased incentives for production and thrift;,10
1948,48,1,104,1,104,a sound currency;,3
1948,49,1,105,1,105,reduction of the public debt.,5
1948,50,20,2002,20,2002,"We pledge further, that in the management of our National Government, we shall achieve the abolition of overlapping, duplication, extravagance, and excessive centralization;",23
1948,51,20,2002,20,2002,the more efficient assignment of functions within the government;,9
1948,52,19,1921,19,1921,and the rooting out of Communism wherever found.,8
1948,53,-555,-555,0,-555,These things are fundamental.,4
1948,54,-555,-555,0,-555,"We must, however, do more.",5
1948,55,-555,-555,0,-555,"The Constitution gives us the affirmative mandate ""to establish justice.""",10
1948,56,-555,-555,0,-555,In Lincoln's words: The dogmas of the quiet past are inadequate to the stormy present.,15
1948,57,-555,-555,0,-555,The occasion is piled high with difficulty and we must rise with the occasion.,14
1948,58,-555,-555,0,-555,"As our case is new, so we must think anew and act anew.",13
1948,59,-555,-555,0,-555,The tragic experience of Europe tells us that popular government disappears when it is ineffective and no longer can translate into action the aims and the aspirations of the people.,30
1948,60,16,1604,16,1604,"Therefore, in domestic affairs, we propose:The maintenance of armed services for air, land and sea, to a degree which will insure our national security;",24
1948,61,16,1600,16,1600,"and the achievement of effective unity in the Department of National Defense so as to insure maximum economy in money and manpower, and maximum effectiveness in case of war.",29
1948,62,16,1608,16,1608,"We favor sustained effective action to procure sufficient manpower for the services, recognizing the American principle that every citizen has an obligation of service to his country.",27
1948,63,10,1000,10,1000,"An adequate privately operated merchant marine, the continued development of our harbors and waterways, and the expansion of privately operated air transportation and communication systems.",25
1948,64,1,100,1,100,"The maintenance of Federal finances in a healthy condition and continuation of the efforts so well started by the Republican Congress to reduce the enormous burden of taxation in order to provide incentives for the creation of new industries and new jobs, and to bring relief from inflation.",48
1948,65,1,100,1,100,"We favor intelligent integration of Federal-State taxing and spending policies designed to eliminate wasteful duplication, and in order that the State and local governments may be able to assume their separate responsibilities, the Federal government shall as soon as practicable withdraw or reduce those taxes which can be best administered by local governments, with particular consideration of excise and inheritance taxes;",61
1948,66,20,2001,20,2001,and we favor restoring to America a working federalism.,9
1948,67,15,1521,15,1521,"Small business, the bulwark of American enterprise, must be encouraged through aggressive anti-monopoly action, elimination of unnecessary controls, protection against discrimination, correction of tax abuses, and limitation of competition by governmental organizations.",32
1948,68,5,504,5,504,"Collective bargaining is an obligation as well as a right, applying equally to workers and employers;",16
1948,69,5,504,5,504,and the fundamental right to strike is subordinate only to paramount considerations of public health and safety.,17
1948,70,5,504,5,504,"Government's chief function in this field is to promote good will, encourage cooperation, and where resort is had to intervention, to be impartial, preventing violence and requiring obedience to all law by all parties involved.",35
1948,71,5,504,5,504,We pledge continuing study to improve labor-management legislation in the light of experience and changing conditions.,16
1948,72,7,711,7,711,There must be a long-term program in the interest of agriculture and the consumer which should include: An accelerated program of sounder soil conservation;,24
1948,73,4,402,4,402,"effective protection of reasonable market prices through flexible support prices, commodity loans, marketing agreements, together with such other means as may be necessary, and the development of sound farm credit;",30
1948,74,4,400,4,400,encouragement of family-size farms;,4
1948,75,4,498,4,498,"intensified research to discover new crops, new uses for existing crops, and control of hoof and mouth and other animal diseases and crop pests;",24
1948,76,4,400,4,400,"support of the principle of bona fide farmer-owned and farmer-operated co-operatives, and sound rural electrification.",15
1948,77,21,2104,21,2104,"We favor progressive development of the Nation's water resources for navigation, flood control and power, with immediate action in critical areas.",21
1948,78,21,2103,21,2103,We favor conservation of all our natural resources and believe that conservation and stock-piling of strategic and critical raw materials is indispensable to the security of the United States.,29
1948,79,21,2103,21,2103,We urge the full development of our forests on the basis of cropping and sustained yield with co-operation of States and private owners for conservation and fire protection.,28
1948,80,21,2104,21,2104,"We favor a comprehensive reclamation program for arid and semi-arid areas with full protection of the rights and interests of the States in the use and control of water for irrigation, power development incidental thereto and other beneficial uses;",39
1948,81,21,2103,21,2103,withdrawal or acquisition of lands for public purposes only by Act of Congress and after due consideration of local problems;,20
1948,82,8,803,8,803,development of processes for the extraction of oil and other substances from oil shale and coal;,16
1948,83,20,2000,20,2000,adequate representation of the West in the National Administration.,9
1948,84,16,1609,16,1608,"Recognizing the Nation's solemn obligation to all veterans, we propose a realistic and adequate adjustment of benefits on a cost-of-living basis for service-connected disabled veterans and their dependents, and for the widows, orphans and dependents of veterans who died in the service of their country. on.",46
1948,85,16,1609,16,1608,"All disabled veterans should have ample opportunity for suitable, self-sustaining employment.",11
1948,86,16,1609,16,1608,"We demand good-faith compliance with veterans preference in Federal service with simplification and codification of the hundreds of piecemeal Federal laws affecting veterans, and efficient and businesslike management of the Veterans Administration.",32
1948,87,3,300,3,300,We pledge the highest possible standards of medical care and hospitalizati,11
1948,88,14,1401,14,1401,Housing can best be supplied and financed by private enterprise;,10
1948,89,14,1406,14,1406,but government can and should encourage the building of better homes at less cost.,14
1948,90,14,1406,14,1406,We recommend Federal aid to the States for local slum clearance and low-rental housing programs only where there is a need that cannot be met either by private enterprise or by the States and localities.,35
1948,91,13,1303,13,1303,"Consistent with the vigorous existence of our competitive economy, we urge: extension of the Federal Old Age and Survivors' Insurance program and increase of the benefits to a more realistic level;",31
1948,92,3,300,3,300,"strengthening of Federal-State programs designed to provide more adequate hospital facilities, too improve methods of treatment for the mentally ill, to advance maternal and child health and generally to foster a healthy America.",33
1948,93,2,201,2,201,"Lynching or any other form of mob violence anywhere is a disgrace to any civilized state, and we favor the prompt enactment of legislation to end this infamy.",28
1948,94,2,200,2,200,"One of the basic principles of this Republic is the equality of all individuals in their right to life, liberty, and the pursuit of happiness.",25
1948,95,2,200,2,200,This principle is enunciated in the Declaration of Independence and embodied in the Constitution of the United States;,18
1948,96,2,200,2,200,it was vindicated on the field of battle and became the cornerstone of this Republic.,15
1948,97,2,200,2,200,"This right of equal opportunity to work and to advance in life should never be limited in any individual because of race, religion, color, or country of origin.",28
1948,98,2,200,2,200,We favor the enactment and just enforcement of such Federal legislation as may be necessary to maintain this right at all times in every part of this Republic.,28
1948,99,2,206,2,206,We favor the abolition of the poll tax as a requisite to voting.,13
1948,100,2,201,2,201,We are opposed to the idea of racial segregation in the armed services of the United States.,17
1948,101,2,209,2,209,We pledge a vigorous enforcement of existing laws against Communists and enactment of such new legislation as may be necessary to expose the treasonable activities of Communists and defeat their objective of establishing here a godless dictatorship controlled from abroad.,40
1948,102,20,2012,20,2012,We favor a revision of the procedure for the election of the President and Vice President which will more exactly reflect the popular vote.,24
1948,103,2,202,2,202,We recommend to Congress the submission of a constitutional amendment providing equal rights for women.,15
1948,104,2,202,2,202,We favor equal pay for equal work regardless of sex.,10
1948,105,20,2004,20,2004,We propose a well-paid and efficient Federal career service.,9
1948,106,20,2002,20,2002,We favor the elimination of unnecessary Federal bureaus and of the duplication of the functions of necessary governmental agencies.,19
1948,107,6,600,6,600,We favor equality of educational opportunity for all and the promotion of education and educational facilities.,16
1948,108,20,2001,20,2001,"We favor restoration to the States of their historic rights to the tide and submerged lands, tributary waters, lakes, and streams.",21
1948,109,21,2105,21,2105,"We favor eventual statehood for Hawaii, Alaska and Puerto Rico.",10
1948,110,21,2105,21,2105,We urge development of Alaskan land communications and natural resources.,10
1948,111,20,2014,20,2014,We favor self-government for the residents of the nation's capital.,10
1948,112,19,1900,19,1900,We dedicate our foreign policy to the preservation of a free America in a free world of free men.,19
1948,113,19,1900,19,1900,"With neither malice nor desire for conquest, we shall strive for a just peace with all nations.",17
1948,114,19,1900,19,1900,"America is deeply interested in the stability, security and liberty of other independent peoples.",14
1948,115,19,1900,19,1900,"Within the prudent limits of our own economic welfare, we shall cooperate, on a basis of self-help and mutual aid, to assist other peace-loping nations to restore their economic independence and the human rights and fundamental freedoms for which we fought two wars and upon which dependable peace must build.",50
1948,116,19,1901,19,1901,We shall insist on businesslike and efficient administration of all foreign aid.,12
1948,117,19,1910,19,1910,We welcome and encourage the sturdy progress toward unity in Western Europe.,12
1948,118,19,1900,19,1900,We shall erect our foreign policy on the basis of friendly firmness which welcomes co-operation but spurns appeasement.,18
1948,119,19,1900,19,1900,We shall pursue a consistent foreign policy which invites steadiness and reliance and which thus avoids the misunderstandings from which wars result.,22
1948,120,19,1900,19,1900,"We shall protect the future against the errors of the Democrat Administration, which has too often lacked clarity, competence or consistency in our vital international relationships and has too often abandoned justice.",32
1948,121,19,1900,19,1900,We believe in collective security against aggression and in behalf of justice and freedom.,14
1948,122,19,1926,19,1926,"We shall support the United Nations as the world's best hope in this direction, striving to strengthen it and promote its effective evolution and use.",25
1948,123,19,1926,19,1926,"The United Nations should progressively establish international law, be freed of any veto in the peaceful settlement of international disputes, and be provided with the armed forces contemplated by the Charter.",31
1948,124,19,1926,19,1926,We particularly commend the value of regional arrangements as prescribed by the Charter;,13
1948,125,16,1602,16,1602,and we cite the Western Hemispheric Defense Pact as a useful model.,12
1948,126,16,1602,16,1602,We shall nourish these Pan-American agreements in the new spirit of co-operation which implements the Monroe Doctrine.,17
1948,127,19,1921,19,1921,We welcome Israel into the family of nations and take pride in the fact that the Republican Party was the first to call for the establishment of a free and independent Jewish Commonwealth.,33
1948,128,19,1921,19,1921,The vacillation of the Democrat Administration on this question has undermined the prestige of the United Nations.,17
1948,129,19,1921,19,1921,"Subject to the letter and spirit of the United Nations Charter, we pledge to Israel full recognition, with its boundaries as sanctioned by the United Nations and aid in developing its economy.",32
1948,130,19,1921,19,1921,We will foster and cherish our historic policy of friendship with China and assert our deep interest in the maintenance of its integrity and freedom.,25
1948,131,19,1901,19,1901,"We shall seek to restore autonomy and self-sufficiency as rapidly as possible in our post-war occupied areas, guarding always against any rebirth of aggression.",24
1948,132,16,1605,16,1605,We shall relentlessly pursue our aims for the universal limitation and control of arms and implements of war on a basis of reliable disciplines against bad faith.,27
1948,133,18,1800,18,1800,"At all times safeguarding our own industry and agriculture, and under efficient administrative procedures for the legitimate consideration of domestic needs, we shall support the system of reciprocal trade and encourage international commerce.",33
1948,134,19,1900,19,1900,We pledge that under a Republican Administration all foreign commitments shall be made public and subject to constitutional ratification.,19
1948,135,19,1900,19,1900,We shall say what we mean and mean what we say.,11
1948,136,19,1900,19,1900,In all of these things we shall primarily consult the national security and welfare of our own United States.,19
1948,137,19,1900,19,1900,In all of these things we shall welcome the world's co-operation.,11
1948,138,-555,-555,0,-555,But in none of these things shall we surrender our ideals or our free institutions.,15
1948,139,19,1900,19,1900,We are proud of the part that Republicans have taken in those limited areas of foreign policy in which they have been permitted to participate.,25
1948,140,19,1900,19,1900,We shall invite the Minority Party to join us under the next Republican Administration in stopping partisan politics at the water's edge.,22
1948,141,-555,-555,0,-555,We faithfully dedicate ourselves to peace with justice.,8
1948,142,-555,-555,0,-555,"Guided by these principles, with continuing faith in Almighty God;",10
1948,143,-555,-555,0,-555,united in the spirit of brotherhood;,6
1948,144,-555,-555,0,-555,"and using to the full the skills, resources and blessings of liberty with which we are endowed;",17
1948,145,-555,-555,0,-555,"we, the American people, will courageously advance to meet the challenge of the future.",14
1952,146,-555,-555,0,-555,"We maintain that man was not born to be ruled, but that he consented to be governed;",17
1952,147,-555,-555,0,-555,and that the reasons that moved him thereto are few and simple.,12
1952,148,-555,-555,0,-555,"He has voluntarily submitted to government because, only by the establishment of just laws, and the power to enforce those laws, can an orderly life be maintained, full and equal opportunity for all be established, and the blessings of liberty be perpetuated.",42
1952,149,20,2012,20,2012,"We hold that government, and those entrusted with government, should set a high example of honesty, of justice, and unselfish devotion to the public good;",25
1952,150,19,1900,19,1900,that they should labor to maintain tranquillity at home and peace and friendship with all the nations of the earth.,20
1952,151,-555,-555,0,-555,"We assert that during the last twenty years, leaders of the Government of the United States under successive Democrat Administrations, and especially under this present Administration, have failed to perform these several basic duties;",34
1952,152,-555,-555,0,-555,"but, on the contrary, that they have evaded them, flouted them, and by a long succession of vicious acts, so undermined the foundations of our Republic as to threaten its existence.",31
1952,153,2,200,2,200,We charge that they have arrogantly deprived our citizens of precious liberties by seizing powers never granted.,17
1952,154,-555,-555,0,-555,We charge that they work unceasingly to achieve their goal of national socialism,13
1952,155,-555,-555,0,-555,We charge that they have disrupted internal tranquillity by fostering class strife for venal political purposes.,16
1952,156,1,107,1,107,We charge that they have choked opportunity and hampered progress by unnecessary and crushing taxation.,15
